id,name,shop,change_type,changed_columns,reason
D0056,煎蛋（加料）,渝见粉面,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0057,杂酱（加料）,渝见粉面,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0058,肉丝（加料）,渝见粉面,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0059,牛肉（加料）,渝见粉面,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0060,肥肠（加料）,渝见粉面,nutrition_or_existing_field,portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0066,清汤牛肉面,西安风味小吃,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0185,茶树菇肉包,面夫子,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;is_drink;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0207,茶叶蛋,面夫子,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;is_drink;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0208,牛奶燕麦粥,面夫子,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;is_drink;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0217,可乐鸡饭,高手卤肉饭,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;is_drink;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0231,卤肉拼可乐鸡饭,高手卤肉饭,nutrition_or_existing_field,category;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;is_drink;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0234,宽粉50g,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0235,方便面饼1块,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0236,幸运蟹黄面,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0237,鹌鹑蛋50g,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
D0238,鲜豆腐50g,老成都麻辣烫/麻辣拌,nutrition_or_existing_field,category;package_fee;portion_g;kcal;protein_g;fat_g;carbs_g;fiber_g;sodium_mg;sugar_g;estimate_note,修正明显分类/份量异常或统一外卖费用口径
