id,name,canteen,shop,location,category,price,original_price,price_dinein,price_takeout,delivery_available,addon_only,min_order,delivery_fee,package_fee,delivery_start,portion_g,kcal,protein_g,fat_g,carbs_g,fiber_g,sodium_mg,sugar_g,oil_level,is_fried,is_drink,tags,estimate_note,external_price_note,source_note,available_breakfast,available_lunch,available_dinner,dinein_available,takeout_available,item_role,component_type,standalone_allowed,meal_anchor,complete_meal,shop_mode,bundle_group,provides_group,requires_group,choice_group,choice_min,choice_max,package_fee_per_order,delivery_fee_per_order,rule_note,preference_categories,is_light,light_anchor,soup_meal,soup_priority,counts_for_preference,auto_attach_scope,auto_attach_value,movement_counted
D0001,腊肠炒萝卜干,二饭,湘菜小炒,二饭,荤菜,6.0,6.0,6.0,6.0,1,0,0.0,1.2,1.0,,200,460,26.0,34.0,18.0,3.0,750,3.0,高,0,0,蛋白质来源;高脂;含蔬菜;高蛋白,按单份荤菜约200g估算,,用户收集菜单;营养为南方高校食堂常见份量理论估算,0,1,1,1,1,base,protein,0,1,0,alacarte_rice,,xiangcai_alacarte,,,0,0,1.0,1.2,按自选菜处理，需搭配同窗口白米饭,荤菜,0,0,0,0,1,,,1
D0002,辣子鸡,二饭,湘菜小炒,二饭,荤菜,6.0,6.0,6.0,6.0,1,0,0.0,1.2,1.0,,200,340,24.0,22.0,10.0,1.0,750,3.0,中,0,0,蛋白质来源;中脂,按单份荤菜约200g估算,,用户收集菜单;营养为南方高校食堂常见份量理论估算,0,1,1,1,1,base,protein,0,1,0,alacarte_rice,,xiangcai_alacarte,,,0,0,1.0,1.2,按自选菜处理，需搭配同窗口白米饭,荤菜,0,0,0,0,1,,,1
D0003,蒜香鸡排,二饭,湘菜小炒,二饭,荤菜,6.0,6.0,6.0,6.0,1,0,0.0,1.2,1.0,,200,560,26.0,44.0,10.0,1.0,750,3.0,高,1,0,油炸或煎烤;蛋白质来源;高脂;高蛋白,按单份荤菜约200g估算,,用户收集菜单;营养为南方高校食堂常见份量理论估算,0,1,1,1,1,base,protein,0,1,0,alacarte_rice,,xiangcai_alacarte,,,0,0,1.0,1.2,按自选菜处理，需搭配同窗口白米饭,荤菜,0,0,0,0,1,,,1
D0004,辣椒炒肉,二饭,湘菜小炒,二饭,荤菜,6.0,6.0,6.0,6.0,1,0,0.0,1.2,1.0,,200,340,24.0,22.0,10.0,1.0,750,3.0,中,0,0,蛋白质来源;中脂,按单份荤菜约200g估算,,用户收集菜单;营养为南方高校食堂常见份量理论估算,0,1,1,1,1,base,protein,0,1,0,alacarte_rice,,xiangcai_alacarte,,,0,0,1.0,1.2,按自选菜处理，需搭配同窗口白米饭,荤菜,0,0,0,0,1,,,1
D0005,黄焖鸡,二饭,湘菜小炒,二饭,荤菜,6.0,6.0,6.0,6.0,1,0,0.0,1.2,1.0,,200,340,24.0,22.0,10.0,1.0,750,3.0,中,0,0,蛋白质来源;中脂,按单份荤菜约200g估算,,用户收集菜单;营养为南方高校食堂常见份量理论估算,0,1,1,1,1,base,protein,0,1,0,alacarte_rice,,xiangcai_alacarte,,,0,0,1.0,1.2,按自选菜处理，需搭配同窗口白米饭,荤菜,0,0,0,0,1,,,1
D0006,口水鸡,二饭,湘菜小炒,二饭,荤菜,6.0,6.0,6.0,6.0,1,0,0.0,1.2,1.0,,200,340,24.0,22.0,10.0,1.0,750,3.0,中,0,0,蛋白质来源;中脂,按单份荤菜约200g估算,,用户收集菜单;营养为南方高校食堂常见份量理论估算,0,1,1,1,1,base,protein,0,1,0,alacarte_rice,,xiangcai_alacarte,,,0,0,1.0,1.2,按自选菜处理，需搭配同窗口白米饭,荤菜,0,0,0,0,1,,,1
D0007,香辣虾,二饭,湘菜小炒,二饭,荤菜,6.0,6.0,6.0,6.0,1,0,0.0,1.2,1.0,,200,300,27.0,17.0,10.0,1.0,750,3.0,中,0,0,蛋白质来源;中脂;高蛋白,按单份荤菜约200g估算,,用户收集菜单;营养为南方高校食堂常见份量理论估算,0,1,1,1,1,base,protein,0,1,0,alacarte_rice,,xiangcai_alacarte,,,0,0,1.0,1.2,按自选菜处理，需搭配同窗口白米饭,荤菜,0,0,0,0,1,,,1
D0008,酱鸭,二饭,湘菜小炒,二饭,荤菜,6.0,6.0,6.0,6.0,1,0,0.0,1.2,1.0,,200,340,24.0,22.0,10.0,1.0,750,3.0,中,0,0,蛋白质来源;中脂,按单份荤菜约200g估算,,用户收集菜单;营养为南方高校食堂常见份量理论估算,0,1,1,1,1,base,protein,0,1,0,alacarte_rice,,xiangcai_alacarte,,,0,0,1.0,1.2,按自选菜处理，需搭配同窗口白米饭,荤菜,0,0,0,0,1,,,1
D0009,肉饼蒸蛋,二饭,湘菜小炒,二饭,主食,6.0,6.0,6.0,6.0,1,0,0.0,1.2,1.0,,350,470,13.0,10.0,78.0,2.0,850,3.0,中,0,0,主食;可作正餐;中脂;高碳水,按普通粉面/面点份量估算,,用户收集菜单;营养为南方高校食堂常见份量理论估算,0,1,1,1,1,base,protein,0,1,0,alacarte_rice,,xiangcai_alacarte,,,0,0,1.0,1.2,按自选菜处理，需搭配同窗口白米饭,主食;荤菜,0,0,0,0,1,,,1
D0010,啤酒鸭,二饭,湘菜小炒,二饭,荤菜,6.0,6.0,6.0,6.0,1,0,0.0,1.2,1.0,,200,340,24.0,22.0,10.0,1.0,750,3.0,中,0,0,蛋白质来源;中脂,按单份荤菜约200g估算,,用户收集菜单;营养为南方高校食堂常见份量理论估算,0,1,1,1,1,base,protein,0,1,0,alacarte_rice,,xiangcai_alacarte,,,0,0,1.0,1.2,按自选菜处理，需搭配同窗口白米饭,荤菜,0,0,0,0,1,,,1
D0011,红烧茄子,二饭,湘菜小炒,二饭,素菜,4.0,4.0,4.0,4.0,1,0,0.0,1.2,1.0,,180,195,4.0,13.0,21.0,4.0,520,2.0,中,0,0,补蔬菜;高纤维;中脂,按蔬菜160g+食用油估算,,用户收集菜单;营养为南方高校食堂常见份量理论估算,0,1,1,1,1,base,vegetable,0,1,0,alacarte_rice,,xiangcai_alacarte,,,0,0,1.0,1.2,按自选菜处理，需搭配同窗口白米饭,素菜,0,0,0,0,1,,,1
D0012,红萝卜炒肉,二饭,湘菜小炒,二饭,荤菜,4.0,4.0,4.0,4.0,1,0,0.0,1.2,1.0,,200,340,24.0,22.0,18.0,3.0,750,3.0,中,0,0,蛋白质来源;含蔬菜;中脂,按单份荤菜约200g估算,,用户收集菜单;营养为南方高校食堂常见份量理论估算,0,1,1,1,1,base,protein,0,1,0,alacarte_rice,,xiangcai_alacarte,,,0,0,1.0,1.2,按自选菜处理，需搭配同窗口白米饭,荤菜,0,0,0,0,1,,,1
D0013,莴笋炒肉,二饭,湘菜小炒,二饭,荤菜,4.0,4.0,4.0,4.0,1,0,0.0,1.2,1.0,,200,340,24.0,22.0,18.0,3.0,750,3.0,中,0,0,蛋白质来源;含蔬菜;中脂,按单份荤菜约200g估算,,用户收集菜单;营养为南方高校食堂常见份量理论估算,0,1,1,1,1,base,vegetable,0,1,0,alacarte_rice,,xiangcai_alacarte,,,0,0,1.0,1.2,按自选菜处理，需搭配同窗口白米饭,荤菜;素菜,0,0,0,0,1,,,1
D0014,香干炒肉,二饭,湘菜小炒,二饭,荤菜,4.0,4.0,4.0,4.0,1,0,0.0,1.2,1.0,,200,340,24.0,22.0,10.0,1.0,750,3.0,中,0,0,蛋白质来源;中脂,按单份荤菜约200g估算,,用户收集菜单;营养为南方高校食堂常见份量理论估算,0,1,1,1,1,base,protein,0,1,0,alacarte_rice,,xiangcai_alacarte,,,0,0,1.0,1.2,按自选菜处理，需搭配同窗口白米饭,荤菜,0,0,0,0,1,,,1
D0015,外婆菜炒鸡蛋,二饭,湘菜小炒,二饭,荤菜,4.0,4.0,4.0,4.0,1,0,0.0,1.2,1.0,,180,220,15.0,14.0,8.0,0.0,100,1.0,中,0,0,蛋白质来源;中脂,按鸡蛋类常见份量估算,,用户收集菜单;营养为南方高校食堂常见份量理论估算,0,1,1,1,1,base,protein,0,1,0,alacarte_rice,,xiangcai_alacarte,,,0,0,1.0,1.2,按自选菜处理，需搭配同窗口白米饭,荤菜,0,0,0,0,1,,,1
D0016,藕片炒肉,二饭,湘菜小炒,二饭,荤菜,4.0,4.0,4.0,4.0,1,0,0.0,1.2,1.0,,200,340,24.0,22.0,18.0,3.0,750,3.0,中,0,0,蛋白质来源;含蔬菜;中脂,按单份荤菜约200g估算,,用户收集菜单;营养为南方高校食堂常见份量理论估算,0,1,1,1,1,base,protein,0,1,0,alacarte_rice,,xiangcai_alacarte,,,0,0,1.0,1.2,按自选菜处理，需搭配同窗口白米饭,荤菜,0,0,0,0,1,,,1
D0017,平菇炒肉,二饭,湘菜小炒,二饭,荤菜,4.0,4.0,4.0,4.0,1,0,0.0,1.2,1.0,,200,340,24.0,22.0,10.0,1.0,750,3.0,中,0,0,蛋白质来源;中脂,按单份荤菜约200g估算,,用户收集菜单;营养为南方高校食堂常见份量理论估算,0,1,1,1,1,base,protein,0,1,0,alacarte_rice,,xiangcai_alacarte,,,0,0,1.0,1.2,按自选菜处理，需搭配同窗口白米饭,荤菜,0,0,0,0,1,,,1
D0018,西红柿炒鸡蛋,二饭,湘菜小炒,二饭,荤菜,4.0,4.0,4.0,4.0,1,0,0.0,1.2,1.0,,180,220,15.0,14.0,16.0,2.0,100,1.0,中,0,0,蛋白质来源;含蔬菜;中脂,按鸡蛋类常见份量估算,,用户收集菜单;营养为南方高校食堂常见份量理论估算,0,1,1,1,1,base,protein,0,1,0,alacarte_rice,,xiangcai_alacarte,,,0,0,1.0,1.2,按自选菜处理，需搭配同窗口白米饭,荤菜,0,0,0,0,1,,,1
D0019,花菜炒肉,二饭,湘菜小炒,二饭,荤菜,4.0,4.0,4.0,4.0,1,0,0.0,1.2,1.0,,200,340,24.0,22.0,18.0,3.0,750,3.0,中,0,0,蛋白质来源;含蔬菜;中脂,按单份荤菜约200g估算,,用户收集菜单;营养为南方高校食堂常见份量理论估算,0,1,1,1,1,base,vegetable,0,1,0,alacarte_rice,,xiangcai_alacarte,,,0,0,1.0,1.2,按自选菜处理，需搭配同窗口白米饭,荤菜;素菜,0,0,0,0,1,,,1
